0.011;0;91.43553924560547;45.651212199451045;0.017729314044117928;0.0;1.570829153060913;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
0.022;1;91.43543243408203;45.65121644847118;0.018359975889325142;0.0;1.570833444595337;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
0.033;2;91.4353256225586;45.651220175010685;0.01784706301987171;0.0;1.5708352327346802;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
0.044;3;91.43522644042969;45.6512233027936;0.018046464771032333;0.0;1.5708386898040771;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
0.055;4;91.43513488769531;45.651226495572985;0.01744641736149788;0.0;1.5708407163619995;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
0.066;5;91.43504333496094;45.65122908540374;0.017787907272577286;0.0;1.5708421468734741;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
0.077;6;91.43494415283203;45.65122805686595;0.01803888939321041;0.0;1.5708404779434204;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
0.088;7;91.43482971191406;45.65122350781382;0.018657805398106575;0.0;1.5708385705947876;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
0.099;8;91.43472290039062;45.651216604763086;0.018077945336699486;0.0;1.5708333253860474;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
0.11;9;91.43462371826172;45.651208581902004;0.01822846196591854;0.0;1.5708287954330444;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
0.121;10;91.43452453613281;45.6512000265872;0.017564868554472923;0.0;1.5708222389221191;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
0.132;11;91.43443298339844;45.65119167096447;0.017710810527205467;0.0;1.570817232131958;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
0.143;12;91.43434143066406;45.651183580247135;0.017225151881575584;0.0;1.5708109140396118;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
0.154;13;91.43425750732422;45.65117597131457;0.017436757683753967;0.0;1.5708063840866089;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
0.165;14;91.43417358398438;45.65116867576312;0.017082326114177704;0.0;1.5708006620407104;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
0.176;15;91.43408966064453;45.651161775532685;0.01734345778822899;0.0;1.5707964897155762;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
0.187;16;91.43400573730469;45.651154986800286;0.01705256849527359;0.0;1.5707911252975464;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
0.198;17;91.43392181396484;45.65114835099953;0.01733819954097271;0.0;1.5707871913909912;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
0.209;18;91.433837890625;45.6511416789647;0.017062803730368614;0.0;1.570781946182251;0.0;0.0;0.0;0.0;0;15.0;15.0;15.0;15.0;2.0;2.0
0.22;19;91.43375396728516;45.65113510329133;0.01735263504087925;0.0;1.5707781314849854;0.0;0.0;0.0;0.0;0;15.0;15.0;15.0;15.0;2.0;2.0
0.231;20;91.43367767333984;45.65112841954664;0.0170731283724308;0.0;1.5707727670669556;0.0;0.0;0.0;0.0;0;15.0;15.0;15.0;15.0;2.0;2.0
0.242;21;91.43359375;45.65112174768828;0.017359534278512;0.0;1.57076895236969;0.0;0.0;0.0;0.0;0;15.0;15.0;15.0;15.0;2.0;2.0
0.253;22;91.43350982666016;45.65111496484193;0.01707322895526886;0.0;1.5707635879516602;0.0;0.0;0.0;0.0;0;15.0;15.0;15.0;15.0;2.0;2.0
0.264;23;91.43342590332031;45.6511082586454;0.017355114221572876;11.982926982972357;1.570759654045105;0.0;0.0;0.0;0.0;0;15.0;15.0;15.0;15.0;2.0;2.0
0.275;24;91.43334197998047;45.651101457429306;0.017066648229956627;11.982926982972357;1.5707542896270752;0.0;0.0;0.0;0.0;0;15.0;15.0;15.0;15.0;2.0;2.0
0.286;25;91.43325805664062;45.65109469177911;0.017346810549497604;11.982926982972357;1.5707502365112305;0.0;0.0;0.0;0.0;0;15.0;15.0;15.0;15.0;2.0;2.0
0.297;26;91.43317413330078;45.65108784169054;0.01705891266465187;11.982653401378128;1.5707448720932007;0.0;0.0;0.0;0.0;0;15.0;15.0;15.0;15.0;2.0;2.0
0.308;27;91.43309020996094;45.65108109549103;0.01733824424445629;11.982653401378128;1.5707409381866455;0.0;0.0;0.0;0.0;0;15.0;15.0;15.0;15.0;2.0;2.0
0.319;28;91.4330062866211;45.651074278890306;0.01705264300107956;11.982653401378128;1.5707355737686157;0.0;0.0;0.0;0.0;0;15.0;15.0;15.0;15.0;2.0;2.0
0.33;29;91.43292999267578;45.65106751057332;0.017332658171653748;11.982947568926546;1.570731520652771;0.011936620818239234;0.00020833333484037423;0.0;0.0;0;15.0;15.0;15.0;15.0;2.0;2.0
0.341;30;91.43284606933594;45.65106066283808;0.017048634588718414;11.982947568926546;1.5707261562347412;0.011936620818239234;0.00020833333484037423;0.0;0.0;0;15.0;15.0;15.0;15.0;2.0;2.0
